experiment,rationale,model,square_id,partition,MAE,RMSE,MAPE_%,sMAPE_%,R2,RMSE/MAE,MASE,train_seconds,inference_seconds,inference_ms_per_step,n_parameters,best_epoch,hyperparameters,notes
1,Baseline: a single AR term on the seasonally differenced series.,SARIMA,5161,val,154.7107,246.8651,11.4281,11.2674,0.9737,1.5957,0.5246,0.863,0.0669,0.0663,2,,"{""p"": 1, ""d"": 0, ""q"": 0, ""seasonal_period"": 144, ""trend"": ""n""}","SARIMA(1,0,0)(0,1,0)[144], AIC=-382.1, log1p scale"
2,"A pure MA term at the same complexity, to see which the data prefers.",SARIMA,5161,val,222.2263,378.2507,14.6061,14.2855,0.9382,1.7021,0.7536,0.662,0.1013,0.1005,2,,"{""p"": 0, ""d"": 0, ""q"": 1, ""seasonal_period"": 144, ""trend"": ""n""}","SARIMA(0,0,1)(0,1,0)[144], AIC=1275.0, log1p scale"
3,"ARMA(1,1): the standard first upgrade when both ACF and PACF decay.",SARIMA,5161,val,136.3332,210.5896,10.1896,10.0661,0.9808,1.5447,0.4623,0.938,0.0962,0.0954,3,,"{""p"": 1, ""d"": 0, ""q"": 1, ""seasonal_period"": 144, ""trend"": ""n""}","SARIMA(1,0,1)(0,1,0)[144], AIC=-1161.7, log1p scale"
4,The PACF shows significant mass at lag 2; add a second AR term.,SARIMA,5161,val,137.0113,211.4105,10.2473,10.1226,0.9807,1.543,0.4646,1.765,0.1205,0.1195,4,,"{""p"": 2, ""d"": 0, ""q"": 1, ""seasonal_period"": 144, ""trend"": ""n""}","SARIMA(2,0,1)(0,1,0)[144], AIC=-1191.6, log1p scale"
5,Probe whether AR order keeps helping or starts to overfit.,SARIMA,5161,val,137.0225,211.2419,10.2541,10.1286,0.9807,1.5417,0.4646,3.91,0.2405,0.2386,5,,"{""p"": 3, ""d"": 0, ""q"": 1, ""seasonal_period"": 144, ""trend"": ""n""}","SARIMA(3,0,1)(0,1,0)[144], AIC=-1194.8, log1p scale"
6,Trade an AR term for an extra MA term at equal parameter count.,SARIMA,5161,val,136.9325,210.7924,10.2484,10.1227,0.9808,1.5394,0.4643,9.383,0.0979,0.0971,5,,"{""p"": 2, ""d"": 0, ""q"": 2, ""seasonal_period"": 144, ""trend"": ""n""}","SARIMA(2,0,2)(0,1,0)[144], AIC=-1197.5, log1p scale"
7,Add a non-seasonal difference to test for residual drift.,SARIMA,5161,val,136.6318,207.9968,10.4105,10.287,0.9813,1.5223,0.4633,2.168,0.1134,0.1125,4,,"{""p"": 2, ""d"": 1, ""q"": 1, ""seasonal_period"": 144, ""trend"": ""n""}","SARIMA(2,1,1)(0,1,0)[144], AIC=-1104.5, log1p scale"
8,"Re-test the best order with a constant, to check whether the seasonally differenced series carries any residual mean offset. Worth testing explicitly because statsmodels includes a constant by default and it is easy to fit one unintentionally.",SARIMA,5161,val,137.0448,211.4149,10.2512,10.123,0.9807,1.5427,0.4647,4.906,0.4638,0.4602,5,,"{""p"": 2, ""d"": 0, ""q"": 1, ""seasonal_period"": 144, ""trend"": ""c""}","SARIMA(2,0,1)(0,1,0)[144] + const, AIC=-1189.6, log1p scale"
