lag_label,lag_steps,acf
10 min,1,0.9871087445701023
1 hour,6,0.9388236400636334
6 hours,36,0.009891430687750882
12 hours,72,-0.6832087569949785
1 day,144,0.8783003248006304
2 days,288,0.7696463438494033
3 days,432,0.7413581051723594
