experiment,rationale,model,square_id,partition,MAE,RMSE,MAPE_%,sMAPE_%,R2,RMSE/MAE,MASE,train_seconds,inference_seconds,inference_ms_per_step,n_parameters,best_epoch,hyperparameters,notes
1,Receptive field 61 steps (~10 h): cannot reach the lag-144 daily peak.,TCN,5161,val,103.1724,158.3596,7.7009,7.6807,0.9892,1.5349,0.3499,1352.155,3.1605,3.1354,5601,20,"{""channels"": 16, ""levels"": 4, ""kernel"": 3, ""dropout"": 0.1, ""receptive_field"": 61, ""batch_size"": 256, ""lr"": 0.002, ""lookback"": 144}","5,601 params, best epoch 20 of 24 run, val MAE 103.17"
2,Receptive field 125 steps (~21 h): just short of one full day.,TCN,5161,val,109.6053,167.0537,7.8985,8.0648,0.9879,1.5241,0.3717,2109.817,0.9718,0.9641,7169,15,"{""channels"": 16, ""levels"": 5, ""kernel"": 3, ""dropout"": 0.1, ""receptive_field"": 125, ""batch_size"": 256, ""lr"": 0.002, ""lookback"": 144}","7,169 params, best epoch 15 of 24 run, val MAE 109.61"
3,Receptive field 253 steps (~42 h): comfortably covers the daily lag.,TCN,5161,val,104.5456,159.8389,7.7232,7.7465,0.989,1.5289,0.3545,987.646,1.0616,1.0532,8737,24,"{""channels"": 16, ""levels"": 6, ""kernel"": 3, ""dropout"": 0.1, ""receptive_field"": 253, ""batch_size"": 256, ""lr"": 0.002, ""lookback"": 144}","8,737 params, best epoch 24 of 24 run, val MAE 104.55"
4,"Receptive field 509 steps (~85 h): covers two days, well beyond the window.",TCN,5161,val,102.4727,154.7145,7.694,7.6469,0.9897,1.5098,0.3475,1168.989,1.2104,1.2008,10305,19,"{""channels"": 16, ""levels"": 7, ""kernel"": 3, ""dropout"": 0.1, ""receptive_field"": 509, ""batch_size"": 256, ""lr"": 0.002, ""lookback"": 144}","10,305 params, best epoch 19 of 24 run, val MAE 102.47"
