,SARIMA,SARIMA,SARIMA,LSTM,LSTM,LSTM,TCN,TCN,TCN
,mae,mean_actual,relative_%,mae,mean_actual,relative_%,mae,mean_actual,relative_%
hour,,,,,,,,,
0,43.796,302.051,14.5,31.441,302.051,10.409,32.892,302.051,10.89
1,27.114,210.493,12.881,19.943,210.493,9.474,19.359,210.493,9.197
2,36.611,202.2,18.106,25.728,202.2,12.724,21.787,202.2,10.775
3,28.776,184.61,15.588,23.509,184.61,12.735,20.164,184.61,10.923
4,19.479,171.172,11.38,11.845,171.172,6.92,12.946,171.172,7.563
5,20.128,182.606,11.023,15.408,182.606,8.438,14.563,182.606,7.975
6,31.146,196.466,15.853,22.311,196.466,11.356,21.354,196.466,10.869
7,32.61,265.932,12.263,28.925,265.932,10.877,22.375,265.932,8.414
8,63.722,447.054,14.254,41.576,447.054,9.3,40.518,447.054,9.063
9,65.401,809.41,8.08,75.291,809.41,9.302,52.452,809.41,6.48
10,151.572,1395.579,10.861,107.483,1395.579,7.702,113.369,1395.579,8.123
11,178.566,2077.146,8.597,106.483,2077.146,5.126,112.947,2077.146,5.438
12,165.821,2686.502,6.172,108.408,2686.502,4.035,104.578,2686.502,3.893
13,214.148,3268.777,6.551,183.626,3268.777,5.618,156.194,3268.777,4.778
14,231.856,3465.018,6.691,255.431,3465.018,7.372,156.131,3465.018,4.506
15,257.801,3431.934,7.512,220.752,3431.934,6.432,162.618,3431.934,4.738
16,202.206,3680.497,5.494,125.497,3680.497,3.41,157.065,3680.497,4.267
17,181.469,3444.299,5.269,181.603,3444.299,5.273,116.038,3444.299,3.369
18,171.259,2842.014,6.026,188.343,2842.014,6.627,141.028,2842.014,4.962
19,164.418,2156.979,7.623,142.652,2156.979,6.614,123.091,2156.979,5.707
20,83.287,1348.437,6.177,124.347,1348.437,9.222,104.645,1348.437,7.76
21,81.286,856.692,9.488,69.293,856.692,8.088,66.812,856.692,7.799
22,87.733,644.686,13.609,79.566,644.686,12.342,69.19,644.686,10.732
23,52.636,413.027,12.744,45.363,413.027,10.983,41.706,413.027,10.098
