,SARIMA,SARIMA,SARIMA,LSTM,LSTM,LSTM,TCN,TCN,TCN
,mae,mean_actual,relative_%,mae,mean_actual,relative_%,mae,mean_actual,relative_%
hour,,,,,,,,,
0,53.117,507.333,10.47,45.012,507.333,8.872,47.257,507.333,9.315
1,45.527,478.536,9.514,42.529,478.536,8.887,49.485,478.536,10.341
2,49.315,432.374,11.406,37.689,432.374,8.717,41.969,432.374,9.707
3,34.949,372.446,9.384,34.167,372.446,9.174,35.843,372.446,9.624
4,36.361,319.362,11.385,29.747,319.362,9.315,27.758,319.362,8.692
5,37.035,277.826,13.33,29.229,277.826,10.521,27.974,277.826,10.069
6,27.016,282.672,9.557,24.094,282.672,8.524,22.001,282.672,7.783
7,59.034,440.556,13.4,56.345,440.556,12.789,53.998,440.556,12.257
8,111.206,908.635,12.239,100.389,908.635,11.048,76.3,908.635,8.397
9,125.376,1707.904,7.341,90.089,1707.904,5.275,66.453,1707.904,3.891
10,103.442,2067.435,5.003,77.482,2067.435,3.748,75.06,2067.435,3.631
11,114.96,2248.888,5.112,87.786,2248.888,3.904,89.125,2248.888,3.963
12,147.93,2451.256,6.035,133.699,2451.256,5.454,111.183,2451.256,4.536
13,117.103,2521.4,4.644,99.66,2521.4,3.953,102.507,2521.4,4.065
14,129.249,2399.843,5.386,103.552,2399.843,4.315,103.571,2399.843,4.316
15,91.066,2260.89,4.028,84.624,2260.89,3.743,84.3,2260.89,3.729
16,107.703,2301.556,4.68,82.604,2301.556,3.589,78.945,2301.556,3.43
17,153.222,2213.932,6.921,98.56,2213.932,4.452,97.753,2213.932,4.415
18,119.148,1780.981,6.69,112.756,1780.981,6.331,113.775,1780.981,6.388
19,81.874,1319.278,6.206,56.431,1319.278,4.277,67.221,1319.278,5.095
20,57.548,980.365,5.87,52.82,980.365,5.388,47.269,980.365,4.822
21,55.298,792.11,6.981,43.233,792.11,5.458,35.074,792.11,4.428
22,52.605,704.714,7.465,46.078,704.714,6.539,47.681,704.714,6.766
23,52.54,592.071,8.874,47.124,592.071,7.959,51.37,592.071,8.676
