model,MAE,MAPE_%,RMSE,sMAPE_%,MASE,R2,RMSE/MAE
Persistence,81.517,7.959,114.375,7.909,0.475,0.985,1.403
Seasonal naive,171.736,18.018,245.87,16.621,1.0,0.931,1.432
SARIMA,89.292,8.626,127.904,8.509,0.52,0.981,1.432
LSTM,67.231,6.451,97.879,6.42,0.392,0.989,1.456
TCN,68.867,6.874,99.478,6.73,0.401,0.989,1.444
