model,MAE,MAPE_%,RMSE,sMAPE_%,MASE,R2,RMSE/MAE
Persistence,75.968,8.115,109.578,8.074,0.162,0.99,1.442
Seasonal naive,470.32,71.621,861.621,42.613,1.0,0.409,1.832
SARIMA,81.776,8.722,123.334,8.66,0.174,0.988,1.508
LSTM,67.321,7.214,96.814,7.151,0.143,0.992,1.438
TCN,64.745,7.112,93.3,6.934,0.138,0.993,1.441
